X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-231425,-2272925,Alison Glacer,A
-231425,-2273675,Alison Glacer,A
-231425,-2278925,Alison Glacer,A
-231425,-2279675,Alison Glacer,A
-231425,-2280425,Alison Glacer,A
-230675,-2267675,Alison Glacer,A
-230675,-2268425,Alison Glacer,A
-230675,-2269175,Alison Glacer,A
-230675,-2269925,Alison Glacer,A
-230675,-2270675,Alison Glacer,A
-230675,-2271425,Alison Glacer,A
-230675,-2272175,Alison Glacer,A
-230675,-2272925,Alison Glacer,A
-230675,-2278175,Alison Glacer,A
-230675,-2278925,Alison Glacer,A
-230675,-2279675,Alison Glacer,A
-229925,-2266925,Alison Glacer,A
-229925,-2267675,Alison Glacer,A
-229925,-2268425,Alison Glacer,A
-229925,-2269175,Alison Glacer,A
-229925,-2269925,Alison Glacer,A
-229925,-2270675,Alison Glacer,A
-229925,-2271425,Alison Glacer,A
-229925,-2272175,Alison Glacer,A
-229925,-2272925,Alison Glacer,A
-229925,-2275175,Alison Glacer,A
-229925,-2278175,Alison Glacer,A
-229925,-2278925,Alison Glacer,A
-229925,-2279675,Alison Glacer,A
-229175,-2266925,Alison Glacer,A
-229175,-2267675,Alison Glacer,A
-229175,-2268425,Alison Glacer,A
-229175,-2269175,Alison Glacer,A
-229175,-2269925,Alison Glacer,A
-229175,-2270675,Alison Glacer,A
-229175,-2271425,Alison Glacer,A
-229175,-2272175,Alison Glacer,A
-229175,-2272925,Alison Glacer,A
-229175,-2273675,Alison Glacer,A
-229175,-2274425,Alison Glacer,A
-229175,-2275175,Alison Glacer,A
-229175,-2275925,Alison Glacer,A
-229175,-2276675,Alison Glacer,A
-229175,-2277425,Alison Glacer,A
-229175,-2278175,Alison Glacer,A
-229175,-2278925,Alison Glacer,A
-229175,-2279675,Alison Glacer,A
-228425,-2265425,Alison Glacer,A
-228425,-2266175,Alison Glacer,A
-228425,-2266925,Alison Glacer,A
-228425,-2267675,Alison Glacer,A
-228425,-2268425,Alison Glacer,A
-228425,-2269175,Alison Glacer,A
-228425,-2269925,Alison Glacer,A
-228425,-2270675,Alison Glacer,A
-228425,-2271425,Alison Glacer,A
-228425,-2272175,Alison Glacer,A
-228425,-2272925,Alison Glacer,A
-228425,-2273675,Alison Glacer,A
-228425,-2274425,Alison Glacer,A
-228425,-2275175,Alison Glacer,A
-228425,-2275925,Alison Glacer,A
-228425,-2276675,Alison Glacer,A
-228425,-2277425,Alison Glacer,A
-228425,-2278175,Alison Glacer,A
-228425,-2278925,Alison Glacer,A
-228425,-2279675,Alison Glacer,A
-227675,-2265425,Alison Glacer,A
-227675,-2266925,Alison Glacer,A
-227675,-2267675,Alison Glacer,A
-227675,-2268425,Alison Glacer,A
-227675,-2269175,Alison Glacer,A
-227675,-2269925,Alison Glacer,A
-227675,-2270675,Alison Glacer,A
-227675,-2271425,Alison Glacer,A
-227675,-2272175,Alison Glacer,A
-227675,-2272925,Alison Glacer,A
-227675,-2273675,Alison Glacer,A
-227675,-2274425,Alison Glacer,A
-227675,-2275175,Alison Glacer,A
-227675,-2275925,Alison Glacer,A
-227675,-2276675,Alison Glacer,A
-227675,-2277425,Alison Glacer,A
-227675,-2278175,Alison Glacer,A
-227675,-2278925,Alison Glacer,A
-227675,-2279675,Alison Glacer,A
-226925,-2266925,Alison Glacer,A
-226925,-2267675,Alison Glacer,A
-226925,-2268425,Alison Glacer,A
-226925,-2269175,Alison Glacer,A
-226925,-2269925,Alison Glacer,A
-226925,-2270675,Alison Glacer,A
-226925,-2271425,Alison Glacer,A
-226925,-2272175,Alison Glacer,A
-226925,-2272925,Alison Glacer,A
-226925,-2275175,Alison Glacer,A
-226925,-2276675,Alison Glacer,A
-226925,-2277425,Alison Glacer,A
-226925,-2278175,Alison Glacer,A
-226925,-2278925,Alison Glacer,A
-226925,-2279675,Alison Glacer,A
-226175,-2266925,Alison Glacer,A
-226175,-2267675,Alison Glacer,A
-226175,-2268425,Alison Glacer,A
-226175,-2269175,Alison Glacer,A
-226175,-2269925,Alison Glacer,A
-226175,-2270675,Alison Glacer,A
-226175,-2271425,Alison Glacer,A
-226175,-2272175,Alison Glacer,A
-226175,-2272925,Alison Glacer,A
-226175,-2273675,Alison Glacer,A
-226175,-2275925,Alison Glacer,A
-226175,-2276675,Alison Glacer,A
-226175,-2277425,Alison Glacer,A
-226175,-2278175,Alison Glacer,A
-226175,-2278925,Alison Glacer,A
-226175,-2279675,Alison Glacer,A
-226175,-2280425,Alison Glacer,A
-226175,-2283425,Alison Glacer,A
-226175,-2284175,Alison Glacer,A
-225425,-2265425,Alison Glacer,A
-225425,-2266175,Alison Glacer,A
-225425,-2266925,Alison Glacer,A
-225425,-2267675,Alison Glacer,A
-225425,-2268425,Alison Glacer,A
-225425,-2269175,Alison Glacer,A
-225425,-2269925,Alison Glacer,A
-225425,-2270675,Alison Glacer,A
-225425,-2271425,Alison Glacer,A
-225425,-2272175,Alison Glacer,A
-225425,-2272925,Alison Glacer,A
-225425,-2273675,Alison Glacer,A
-225425,-2277425,Alison Glacer,A
-225425,-2278175,Alison Glacer,A
-225425,-2278925,Alison Glacer,A
-225425,-2279675,Alison Glacer,A
-225425,-2280425,Alison Glacer,A
-225425,-2281175,Alison Glacer,A
-225425,-2281925,Alison Glacer,A
-225425,-2282675,Alison Glacer,A
-225425,-2283425,Alison Glacer,A
-224675,-2265425,Alison Glacer,A
-224675,-2266175,Alison Glacer,A
-224675,-2266925,Alison Glacer,A
-224675,-2267675,Alison Glacer,A
-224675,-2268425,Alison Glacer,A
-224675,-2269175,Alison Glacer,A
-224675,-2269925,Alison Glacer,A
-224675,-2270675,Alison Glacer,A
-224675,-2271425,Alison Glacer,A
-224675,-2272175,Alison Glacer,A
-224675,-2272925,Alison Glacer,A
-224675,-2273675,Alison Glacer,A
-224675,-2278175,Alison Glacer,A
-224675,-2278925,Alison Glacer,A
-224675,-2279675,Alison Glacer,A
-224675,-2280425,Alison Glacer,A
-224675,-2281175,Alison Glacer,A
-224675,-2281925,Alison Glacer,A
-224675,-2282675,Alison Glacer,A
-224675,-2283425,Alison Glacer,A
-223925,-2265425,Alison Glacer,A
-223925,-2266175,Alison Glacer,A
-223925,-2266925,Alison Glacer,A
-223925,-2267675,Alison Glacer,A
-223925,-2268425,Alison Glacer,A
-223925,-2269175,Alison Glacer,A
-223925,-2269925,Alison Glacer,A
-223925,-2270675,Alison Glacer,A
-223925,-2271425,Alison Glacer,A
-223925,-2272175,Alison Glacer,A
-223925,-2272925,Alison Glacer,A
-223925,-2273675,Alison Glacer,A
-223925,-2278175,Alison Glacer,A
-223925,-2279675,Alison Glacer,A
-223925,-2280425,Alison Glacer,A
-223925,-2281175,Alison Glacer,A
-223925,-2281925,Alison Glacer,A
-223925,-2282675,Alison Glacer,A
-223175,-2265425,Alison Glacer,A
-223175,-2266175,Alison Glacer,A
-223175,-2266925,Alison Glacer,A
-223175,-2267675,Alison Glacer,A
-223175,-2268425,Alison Glacer,A
-223175,-2269175,Alison Glacer,A
-223175,-2269925,Alison Glacer,A
-223175,-2270675,Alison Glacer,A
-223175,-2271425,Alison Glacer,A
-223175,-2272175,Alison Glacer,A
-223175,-2272925,Alison Glacer,A
-223175,-2273675,Alison Glacer,A
-223175,-2278925,Alison Glacer,A
-223175,-2279675,Alison Glacer,A
-223175,-2280425,Alison Glacer,A
-223175,-2281175,Alison Glacer,A
-223175,-2281925,Alison Glacer,A
-223175,-2282675,Alison Glacer,A
